"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"type_en"
"Fysio Veenhoven";"fysio_veenhoven";1;286;;"0000-00-00 00:00:00";"Stadionweg 63 hs";"1077 SC";;"POINT(4.8749216242461 52.346759530436)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:27";"2016-09-08 17:43:27";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapeuten Jonker en Van Rijn";"fysiotherapeuten_jonker_en_van_rijn";1;286;;"0000-00-00 00:00:00";"Govert Flinckstraat 350 ";"1074 CG";;"POINT(4.9012107124602 52.35706249684)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:27";"2016-09-08 17:43:27";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapie B. Bruinenberg";"fysiotherapie_b_bruinenberg";1;286;;"0000-00-00 00:00:00";"Amsteldijk 35 ";"1074 JK";;"POINT(4.9052478787297 52.355676916381)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:28";"2016-09-08 17:43:28";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapie de koostraat; Calland Fit";"fysiotherapie_de_koostraat_calland_fit";1;286;;"0000-00-00 00:00:00";"J. de Koostraat 34 ";"1068 KR";;"POINT(4.8108030426314 52.353502077205)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:28";"2016-09-08 17:43:28";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapie en manuele therapie: Boersen en Schrooten";"fysiotherapie_en_manuele_therapie_boersen_en_schrooten";1;286;;"0000-00-00 00:00:00";"Willem Passtoorsstraat 139 ";"1073 HW";;"POINT(4.8973660262066 52.350296856861)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:28";"2016-09-08 17:43:28";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapie Svoboda, Wellinghoff en Evers";"fysiotherapie_svoboda_wellinghoff_en_evers";1;286;;"0000-00-00 00:00:00";"Stadionweg 263 ";"1076 NZ";;"POINT(4.8590039033925 52.345053786566)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:29";"2016-09-08 17:43:29";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapie en herniacentrum locatie van Diemenstraat";"fysiotherapie_en_herniacentrum_locatie_van_diemenstraat";1;286;;"0000-00-00 00:00:00";"Van Diemenstraat 356 ";"1013 CR";;"POINT(4.8865235688879 52.390282781343)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:29";"2016-09-08 17:43:29";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapie Van Wou";"fysiotherapie_van_wou";1;286;;"0000-00-00 00:00:00";"Rustenburgerstraat 148 A-B";"1073 GJ";;"POINT(4.9005526579693 52.352817581732)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:29";"2016-09-08 17:43:29";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapiepraktijk Lomanstraat";"fysiotherapiepraktijk_lomanstraat";1;286;;"0000-00-00 00:00:00";"Lomanstraat 4 hs";"1075 RA";;"POINT(4.8622107560833 52.3518538227)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:30";"2016-09-08 17:43:30";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapiepraktijk Oude Rai";"fysiotherapiepraktijk_oude_rai";1;286;;"0000-00-00 00:00:00";"Lizzy Ansinghstraat 80 ";"1072 RD";;"POINT(4.8922657707864 52.349637509698)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:30";"2016-09-08 17:43:30";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapiepraktijk Wellinghoff";"fysiotherapiepraktijk_wellinghoff";1;286;;"0000-00-00 00:00:00";"Toldwarsstraat 16 ";"1073 RR";;"POINT(4.901193422326 52.351939415785)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:30";"2016-09-08 17:43:30";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Fysiotherapiepraktijk Zeeburg locatie Zeeburgerdijk";"fysiotherapiepraktijk_zeeburg_locatie_zeeburgerdijk";1;286;;"0000-00-00 00:00:00";"Zeeburgerdijk 31 ";"1093 SL";;"POINT(4.9296840953949 52.366028860329)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:30";"2016-09-08 17:43:30";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Galerie Outsider Art";"galerie_outsider_art";1;286;;"0000-00-00 00:00:00";"Nieuwe Keizersgracht 1 A";"1018 DR";;"POINT(4.9026381124992 52.364806779216)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:31";"2016-09-08 17:43:31";"0000-00-00 00:00:00";"Galeries";"Galleries"
"Gall en Gall Haveneiland West";"gall_en_gall_haveneiland_west";1;286;;"0000-00-00 00:00:00";"IJburglaan 659 ";"1087 BS";;"POINT(4.9900984648188 52.358140015672)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:31";"2016-09-08 17:43:31";"0000-00-00 00:00:00";"Winkels";"Stores"
"Fitnessclub Life and Kicking";"fitnessclub_life_and_kicking";1;286;;"0000-00-00 00:00:00";"Eva Besnyostraat 11 -29";"1087 KR";;"POINT(5.0030052240915 52.352655179797)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:31";"2016-09-08 17:43:31";"0000-00-00 00:00:00";"Sportaccommodaties";"Sports accommodations"
"Gassan Diamonds";"gassan_diamonds";1;286;;"0000-00-00 00:00:00";"Nieuwe Uilenburgerstraat 173 ";"1011 LN";;"POINT(4.9042547304823 52.370053220854)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:32";"2016-09-08 17:43:32";"0000-00-00 00:00:00";"Toeristische attracties";"Tourist attractions"
"North Sea Jazz Club";"north_sea_jazz_club";1;286;;"0000-00-00 00:00:00";"Pazzanistraat 1 ";"1014 DB";;"POINT(4.8729533642707 52.386171188283)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:32";"2016-09-08 17:43:32";"0000-00-00 00:00:00";"Congres- en partyaccommodaties";"Conference and party accommodations"
